Universe,Density,NumElements,Method,EncodedSizeBits,EncodingTimeUs,CompressionRatio,RandomAccessTimeUs
1000000,0.01,10000,EliasFano,85618,33,13.3778,0
1000000,0.01,10000,GolombDelta,81961,474,12.8064,88
1000000,0.05,50000,EliasFano,312495,238,9.76547,0
1000000,0.05,50000,GolombDelta,294336,1571,9.198,314
1000000,0.1,100000,EliasFano,524997,264,8.20308,0
1000000,0.1,100000,GolombDelta,490642,2512,7.66628,554
10000000,0.01,100000,EliasFano,856246,251,13.3788,0
10000000,0.01,100000,GolombDelta,820208,3817,12.8158,805
10000000,0.05,500000,EliasFano,3124999,1273,9.76562,1
10000000,0.05,500000,GolombDelta,2943061,14175,9.19707,2927
10000000,0.1,1000000,EliasFano,5249998,2737,8.20312,1
10000000,0.1,1000000,GolombDelta,4906485,23833,7.66638,5550
